id,name,city,code,country_id/id
l01n_do_postal_code_1,Aesa,Santo Domingo,11101,base.do
l01n_do_postal_code_2,Agua Dulce,Santo Domingo,10305,base.do
l01n_do_postal_code_3,Alameda,Santo Domingo,10902,base.do
l01n_do_postal_code_4,Alma Rosa II,Santo Domingo,11506,base.do
l01n_do_postal_code_5,Alpes I,Santo Domingo,11509,base.do
l01n_do_postal_code_6,Altos de Arroyo Hondo I,Santo Domingo,10605,base.do
l01n_do_postal_code_7,Altos de Arroyo Hondo II,Santo Domingo,10506,base.do
l01n_do_postal_code_8,Altos de Arroyo Hondo III,Santo Domingo,10605,base.do
l01n_do_postal_code_9,Altos de Cancino,Santo Domingo,11519,base.do
l01n_do_postal_code_10,Altos de Chavón,Santo Domingo,11402,base.do
l01n_do_postal_code_11,Altos de Sabana Perdida,Santo Domingo,11404,base.do
l01n_do_postal_code_12,Altos Del Oeste,Santo Domingo,10804,base.do
l01n_do_postal_code_13,Altos Del Parque,Santo Domingo,11302,base.do
l01n_do_postal_code_14,Amarilis III,Santo Domingo,11804,base.do
l01n_do_postal_code_15,Ana Virginia,Santo Domingo,11801,base.do
l01n_do_postal_code_16,Antillas,Santo Domingo,10118,base.do
l01n_do_postal_code_17,Arboleda,Santo Domingo,10121,base.do
l01n_do_postal_code_18,Arismar,Santo Domingo,11705,base.do
l01n_do_postal_code_19,Arroyo Manzano,Santo Domingo,10505,base.do
l01n_do_postal_code_20,Atala,Santo Domingo,10115,base.do
l01n_do_postal_code_21,Atlántida,Santo Domingo,11101,base.do
l01n_do_postal_code_22,Barrio Kennedy,Santo Domingo,11805,base.do
l01n_do_postal_code_23,Barrio Antillano,Santo Domingo,10902,base.do
l01n_do_postal_code_24,Barrio Arenoso,Santo Domingo,10805,base.do
l01n_do_postal_code_25,Barrio Brisa de Charles,Santo Domingo,11803,base.do
l01n_do_postal_code_26,Barrio Chavón,Santo Domingo,10801,base.do
l01n_do_postal_code_27,Barrio Enriquillo,Santo Domingo,11002,base.do
l01n_do_postal_code_28,Barrio Gran Poder de Dios,Santo Domingo,10802,base.do
l01n_do_postal_code_29,Barrio Hermanas Mirabal,Santo Domingo,11302,base.do
l01n_do_postal_code_30,Barrio Holguín,Santo Domingo,11002,base.do
l01n_do_postal_code_31,Barrio Invi,Santo Domingo,11101,base.do
l01n_do_postal_code_32,Barrio Josue,Santo Domingo,11005,base.do
l01n_do_postal_code_33,Barrio La Esperanza,Santo Domingo,10801,base.do
l01n_do_postal_code_34,Barrio La Fe,Santo Domingo,10801,base.do
l01n_do_postal_code_35,Barrio La Piña,Santo Domingo,10802,base.do
l01n_do_postal_code_36,Barrio La Torre,Santo Domingo,10801,base.do
l01n_do_postal_code_37,Barrio La Unión,Santo Domingo,10801,base.do
l01n_do_postal_code_38,Barrio Landia,Santo Domingo,10802,base.do
l01n_do_postal_code_39,Barrio Las Mercedes,Santo Domingo,10803,base.do
l01n_do_postal_code_40,Barrio Libertador,Santo Domingo,11005,base.do
l01n_do_postal_code_41,Barrio Norte,Santo Domingo,11301,base.do
l01n_do_postal_code_42,Barrio Nuevo,Santo Domingo,11203,base.do
l01n_do_postal_code_43,Barrio Nuevo,Santo Domingo,11302,base.do
l01n_do_postal_code_44,Barrio Nuevo,Santo Domingo,11402,base.do
l01n_do_postal_code_45,Barrio Obrero,Santo Domingo,10515,base.do
l01n_do_postal_code_46,Barrio Paraíso,Santo Domingo,11115,base.do
l01n_do_postal_code_47,Barrio Paraíso,Santo Domingo,11809,base.do
l01n_do_postal_code_48,Barrio Paraíso,Santo Domingo,10802,base.do
